name,price,sold,rating,store,link,image,category,platform
"COPPER Hard Case Kompatible Untuk - MacBook Air / Pro - Cold Stamping Embossed Math Formula Motif - M1 / M2 / M3 / M4 / Max - 2016 / 2017 / 2018 / 2019 / 2020 / 2021 / 2022 / 2023 / 2024 / 2025 – 13 / 13,3 / 13,6 / 14 / 15 / 15,6 / 16 inch",199000,8,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"Case MacBook Air 15"" 2024/2023 M3/M2 Spigen Thin Fit Slim Hard Casing",649000,11,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"Hard Shell Case Macbook - Matte Protector Guard for Macbook Air / Pro - 13 / 14 / 15 / 16 "" inch - M1 M2 M3 M4",139000,21,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"COPPER Case Cold Stamping Embossed Math Formula Motif - kompatibel for MacBook Air / Pro - M1 / M2 / M3 / M4 / M5 / Max - 2026 / 2025 / 2024 / 2023 / 2022 / 2021 / 2020 / 2019 / 2018 / 2017 / 2016 – 13 / 13,3 / 13,6 / 14 / 15 / 15,6 / 16 inch",199000,17,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
Screen Protector for Macbook Air Pro 16/14/13 M3/M2 2024 Spigen Safe View,519000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
COPPER Hard-Shell Candy Case Premium - kompatibel MacBook Air / Pro - M1 / M2 / M3 / M4 / M5 / Max - 2026 / 2025 / 2024 / 2023 / 2022 / 2021 / 2020 / 2019 / 2018 / 2017 / 2016 – 13 / 13.3 / 13.6 / 14 / 15 / 15.6 / 16 inch,165000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
"MacBook 360° Body Skin Sticker - Full‑Body Anti Gores Palm & Body Cover MacBook Pro / Air - 13 / 14 / 15 / 16 "" inch - M1 / M2 / M3 / M4 / M5",199000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
COPPER Hard-Shell Crystal Case Kompatibel Untuk - MacBook Air / Pro - M1/M2/M3/M4/Max - 2016/2017/2018/2019/2020/2021/2022/2023/2024/2025 – 13/13.3/13.6/14/15/15.6/16 inch,119000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
Mocolo Case Compatible For Macbook Air 13.6 inch / 15 M2 M3 M4 M5 - Casing,165000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
Case Macbook Pro / Air - 13 / 14 / 15 / 16 inch - Stand Cover Hardcase Matte Casing - M1 / M2 / M3 / M4,339000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,macbook air m3,Tokopedia
