name,price,sold,rating,store,link,image,category,platform
Sell_a_Case Mobile Phone Case iPhone 11 12 14 13 15 16 Pro Protective Case iPhone MAX XR XS MAX 7Plus 8Plus SE iPhone Color YES English Jelly Soft Shell Mobile Phone Case,23500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
BENKS KR Tempered Glass Anti Gores Ultra Thin Iphone 13 Mini Pro Max,100000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
BASAIN Casing for iPhone 13/14/15/16/17 Series 360 Titan MagSafe Case | Anti Shock,194350,5,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Myroots Stripe Wave Case Transparan untuk iPhone 15 14 13 Pro Max dengan Casing Magsafe Charging - Cover Protection,42500,3,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
[Sell a case] New! Kelinci yang kreatif dan imut- Glossy White Soft Box/Case for iPhone HP 7 8 7+ 8+ 8+ X XS XS XS XS XR 11 12 13 14 15 16 17 por max Casing ponsel pasangan - Pola kucing hitam putih,23800,18,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Cilupbah DuoStand EdgeClear Magnetic Case + Lens Guard for iPhone 11 12 13 14 15 16 Plus Pro Max,55000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Sell_a_Case Casing Lembut Bowknot Cantik Kompatibel Untuk iPhone 7Plus XR 15 13 11 14 12 Pro Max 7 15 14 8 Plus XS X Max SE Penutup Pelapis Transparan Anti Guncangan,27500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Sell_a_Case New product! Leather phone case for iPhone X XR XS MAX 11 12 13 14 15 PRO MAX 14+ 15+ PLUS Exquisite duck expression anti-fall phone case,23500,15,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
SELL A CASE Casing ponsel 2-in-1 jelly mewah terbaru For iPhone 11 XR 15 16 13 14 12 Pro Max 16 7 15 14 8 Plus XS X Max SE 2020 Motif leopard abu-abu seksi,25500,24,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Sell_a_Case Fashionable and exquisite conch silicone case for iPhone 7Plus XR 15 13 11 14 12 Pro Max 7 15 14 8 Plus XS X Max SE Luxury electroplating frame shockproof soft case housing iPhone,27500,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
CORDE Anti Spy Tempered Glass Privacy for iPhone 17 Air & Pro Max/16/15/14/13/12/11/X XR XS Max Layar Privasi Full Protection,89000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
UGREEN Kabel Data Lightning Mfi For iPhone 11 12 13 14 Fast Charging,198237,3,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
[Sell a case] New! Kelinci yang kreatif dan imut- Glossy White Soft Box/Case for iPhone HP 7 8 7+ 8+ 8+ X XS XS XS XS XR 11 12 13 14 15 16 17 por max Pola Bunga Lili yang Keren,23500,20,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Myroots Cute Animal Pink Case Untuk Iphone 16 15 14 13 Pro Max Series Casing Back Holder Magsafe Cover Ponsel Smartphone Pastel,70500,2,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
Ringke Casing Compatible For iPhone 13 Pro Max Fusion Clear Bening Case No Yellowing Tipis Softcase Slim Armor Rugged Hardcase Full Cover Melindungi Layar Kamera Cover Anti Slip Anti Crack Bumper Clear Bening Transparant Tahan Banting Hybrid Military Drop,128000,0,,N/A,N/A,https://lf-web-assets.tokopedia-static.net/obj/tokopedia-web-sg/zeus_v2/2e112467.svg,iphone 13,Tokopedia
