name,price,category,image,link
Buku,N/A,Uncategorized,N/A,https://azrahstore.com/product-category/buku/
Fashion,N/A,Uncategorized,N/A,https://azrahstore.com/product-category/fashion/
Ready Stock,N/A,Uncategorized,N/A,https://azrahstore.com/product-category/ready-stock/
Promo Buku,N/A,Uncategorized,N/A,https://azrahstore.com/product-category/promo-buku/
Promo Mainan,N/A,Uncategorized,N/A,https://azrahstore.com/product-category/promo-mainan/
